x1,x2,x3,x4,x5,x6,y
150,100,76,1.74,37.98,335,254.3
150,120,93,1.5,39.8,464,248
150,125,98,1.28,39.824,650,286
150,125,98,1.28,41.344,550,297
150,125,98,1.28,42.408,650,270
150,125,98,0.58,51.68,550,190
150,125,98,0.58,53.352,550,212
150,125,100,0.87,53.58,650,241
150,125,98,0.58,55.784,550,233
150,125,98,1.28,57.38,550,319
150,125,98,1.28,57.76,550,341
150,125,98,1.28,64.98,550,276
150,240,200,1.75,70.02,550,1200
150,125,98,1.28,80.028,650,405
150,240,200,2.62,80.1,550,1250
150,125,98,0.58,83.828,550,224
150,240,200,1.75,86.48,550,1300
150,240,200,1.75,87.98,550,1100
150,240,200,2.62,89.28,550,1450
150,125,98,1.28,93.48,550,362
150,125,98,0.58,96.748,550,233
150,240,200,2.62,97.75,550,1450
150,240,200,2.62,107.83,550,1550
150,240,200,1.75,118.7,550,1400
152,76,51,1.67,11.11,352,113
152,102,72.53,5.01,12.51,450,154
152,51,38.1,2.01,13.15,550,49
152,102,85.72,0.45,13.36,550,69
152,76,51,2.2,13.62,352,123
152,102,80.79,1.5,13.78,450,108
152,76,63.5,1.57,15.53,376,88
152,76,60.8,3.14,18.23,376,136
152,51,38.1,1,19.72,296,51
152,51,38.1,2,20.57,411,69
152,152,113.3,2.14,21.48,450,311
152,102,85.72,0.45,22.01,550,107
152,152,113.3,2.14,23.58,450,357
152,102,80.79,1.5,23.75,450,160
152,102,80.79,1.5,24.24,450,121
152,51,38.1,0.6,28.69,268,58
152,51,38.1,2.01,49.47,550,70
152,102,85.72,0.45,49.47,550,148
152,102,80.79,1.5,49.47,450,243
154,51,38.1,2,20.44,386,97
154,51,38.1,1,21.06,387,73
160,100,80,1.31,24.52,525,190
160,100,80,1.31,26.55,525,248
160,100,80,1.31,29.32,525,262
160,150,98,0.8,31.35,414,210
160,160,128,0.98,31.5,485,390
160,100,80,1.31,31.88,525,236
160,160,128,0.98,32.3,485,365
170,150,118,0.8,30.5,628,280
175,200,172,1.24,34.2,500,668
175,200,172,1.24,38.66,500,789
200,120,100,1.09,19,507,202
200,120,98,0.58,19.152,325.5,170
200,120,100,0.73,20.52,507,118
200,100,79,0.8,20.805,480,165
200,120,98,1.32,21.204,325.5,249
200,100,77,1.2,22.23,500,176
200,100,77,1.2,24.51,500,194
200,155,124.7,0.54,24.7,438,258
200,155,125,0.54,26,438,258
200,155,125,0.67,26,438,258
200,155,125,0.82,26,438,319
200,100,77,0.92,26.03,500,194
200,200,164,1.3,26.68,507,796.8
200,130,105,0.64,26.74,400,329.28
200,100,79,0.75,26.79,480,165
200,200,168,0.5,28.35,490,522.3
200,100,79,0.8,28.88,480,186
200,100,75,1.17,28.88,384.4,235
200,120,98,0.91,29.488,325.5,240
200,120,98,1.24,29.49,325.5,274
200,200,164,1.3,29.79,507,805.3
200,200,168,0.5,30.25,490,586.6
200,100,77,0.92,30.685,500,194
200,100,75,1.17,30.97,384.4,240
200,155,134,0.5,31.54,438,257
200,120,98,1.32,31.54,325.5,277
200,155,133,0.5,33.2,438,257
200,150,95,0.83,33.34,414,220
200,155,124.7,0.54,33.53,438,304
200,155,107,0.62,33.82,438,263
200,125,100,0.53,34.12,460,191
200,155,125,0.54,35.3,438,304
200,155,106,0.63,35.6,438,264
200,120,100,2.26,60.515,471,405
200,320,275,1.49,64.14,550,2050
200,120,100,1.49,70.3,471,331
200,120,100,2.26,70.965,471,489
200,120,100,1.49,71.25,471,371
200,320,275,1.49,83.49,550,2250
200,320,275,2.55,89.68,550,2400
200,320,275,1.49,111.72,550,2450
201,102,82,0.89,8.73,466,162
201,102,82,0.66,9.73,403,128
201,102,82,1.26,12,491,244
201,102,82,0.89,12.35,510,215
201,102,82,0.93,13.28,500,307
201,204,177,0.64,22.9,586,478
201,198,173,0.45,31.07,621,530
202,197,172,0.46,31.07,621,503
202,201,176,0.45,31.07,621,537
203,140,124,1,13.265,432,259
203,140,121,1.9,13.4545,282,307
203,152,113.3,2.14,14.31,450,278
203,140,117,1.5,14.69004,282,346
203,140,119,1.2,15.16,432,298
203,152,121.56,0.66,15.29,450,230
203,140,114,1.1,15.48,255,316
203,140,124,1,17.813,255,247
203,140,102,1.7,18.34,282,330
203,125,111,1,19.38,444,266
203,146,111.25,1,19.38,434,266
203,140,121,1,19.5185,432,328
203,140,117,1.2,19.8975,432,346
203,51,33.17,7.3,20.96,450,89
203,152,123.32,0.47,20.96,414,271
203,152,121.56,0.66,23.58,450,271
203,102,72.53,5.01,23.75,450,202
203,152,114,2,24.13,483,334
203,140,117,1.9,25.9,282,298
203,140,119,1.5,27.7,282,341
203,140,117,1.2,27.8,432,402
203,51,38.1,0.6,28.69,268,56
203,140,117,1.9,30.6,322,541
203,140,121,1.9,30.8,282,430
203,140,114,1.1,31.1,432,384
203,140,117,1.5,31.1,282,419
203,152,114,2.6,33.44,483,393
203,140,124,1,33.63,255,401
203,140,114,1.1,35.5,255,259
203,140,124,1,36.2,432,419
203,140,124,1.7,38.7,432,439
203,51,38.1,2.01,49.47,550,74
203,152,121.56,0.66,49.47,450,306
203,102,72.53,5.01,49.47,450,323
210,143,113,0.83,21.95,420,280
210,200,170,0.83,22.14,450,480
221,102,82,1.26,8.66,373,152
221,102,82,1.2,9.3,457,181
221,102,82,0.53,15.27,471,152
221,102,82,0.89,15.9,559,245
221,102,82,1.21,16.05,559,201
221,102,82,1.33,19.17,456,240
224,51,38.1,1,24.43,392,96
225,150,125,0.97,28.5,434,306
225,150,109,0.96,35.34,445,301
